Rooms,Price,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Propertycount,Type_h,Type_t,Type_u,RegN_Eastern Metropolitan,RegN_Eastern Victoria,RegN_Northern Metropolitan,RegN_Northern Victoria,RegN_South-Eastern Metropolitan,RegN_Southern Metropolitan,RegN_Western Metropolitan,RegN_Western Victoria
2,1035000.0,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,-37.8079,144.9934,4019.0,1,0,0,0,0,1,0,0,0,0,0
3,1465000.0,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,-37.8093,144.9944,4019.0,1,0,0,0,0,1,0,0,0,0,0
4,1600000.0,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,-37.8072,144.9941,4019.0,1,0,0,0,0,1,0,0,0,0,0
3,1876000.0,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,-37.8024,144.9993,4019.0,1,0,0,0,0,1,0,0,0,0,0
2,1636000.0,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,-37.806,144.9954,4019.0,1,0,0,0,0,1,0,0,0,0,0
2,1097000.0,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,-37.801,144.9989,4019.0,1,0,0,0,0,1,0,0,0,0,0
3,1350000.0,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,-37.8085,144.9964,4019.0,1,0,0,0,0,1,0,0,0,0,0
2,750000.0,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,-37.8078,144.9965,4019.0,0,0,1,0,0,1,0,0,0,0,0
2,1310000.0,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,-37.809,144.9976,4019.0,1,0,0,0,0,1,0,0,0,0,0
3,1200000.0,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,-37.8056,144.993,4019.0,1,0,0,0,0,1,0,0,0,0,0
3,1176500.0,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,-37.8021,144.9965,4019.0,1,0,0,0,0,1,0,0,0,0,0
2,890000.0,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,-37.8011,145.0004,4019.0,1,0,0,0,0,1,0,0,0,0,0
4,1330000.0,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,-37.8073,144.9952,4019.0,1,0,0,0,0,1,0,0,0,0,0
2,500000.0,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,-37.8015,144.9972,4019.0,0,0,1,0,0,1,0,0,0,0,0
2,1100000.0,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,-37.8079,144.9977,4019.0,1,0,0,0,0,1,0,0,0,0,0
